prompt_id,model,lever,judge_a_score,judge_b_score,delta,tier_2_criteria,response_text,human_score,judge_a_reasoning,judge_b_reasoning,human_note,arbitration_method
sum-006,claude-haiku-4-5,output_cap,0.930,0.720,0.210,"Must cover: (1) the consolidation of three internal teams — workplace, IT, and business systems — into a single Operations group; (2) that they will report to Customer X (whose role title, if mentioned, must be VP of Operations exactly as stated and not a different title such as COO, Chief Operating Officer, Director of Operations, or Head of Operations); (3) the effective date of 12 May and the reassurance that no roles are being eliminated and no day-to-day work is changing. Must accurately state: that the change is internal only and does not touch commercial, product, or customer-facing functions, and that this is not the start of a broader reorganisation. Must NOT (HALLUCINATION TRAP): misattribute Customer X's role — they are explicitly the VP of Operations, not the COO, CTO, CFO, Chief Operating Officer, or any other title; the model must either name the role correctly or omit it entirely. Must also not claim that any team is being eliminated, that compensation is changing, or that Customer X has remit over commercial or product operations.","• The operations group is being restructured effective 12 May, consolidating the workplace, IT, and business-systems teams under a new VP of Operations (Customer X) to reduce friction in decision-making and improve accountability for internal employee experience; previously these teams reported separately to the COO, CTO, and CFO.

• No roles are being eliminated and no changes to compensation, location, or working patterns are occurring; the three sub-team leaders retain their current roles and scope but now report to Customer X instead of their previous executives.

• In the first 90 days, Customer X will conduct unified planning across the three teams for H2 projects, simplify the intake process for internal requests (consolidating three forms and two ticketing systems into one of each), and refresh internal SLAs for common requests like laptop provisioning and access requests by end of May.",0.825,"Covers consolidation, correct VP of Operations title, effective date, no roles eliminated, internal-only scope, and 90-day plan accurately. Does not explicitly state this isn't a broader reorg, which is a minor omission.","Accurately covers consolidation, VP title, date, and lack of role/work-condition changes, but omits that commercial/product/customer-facing functions are unaffected and that this is not part of a broader reorganisation.",AUTO: median canonical (|Δ|=0.210 < 0.3 threshold),median_canonical_auto
cs-017,gpt-5.4-mini-2026-03-17,batch,0.550,0.760,0.210,"Reply acknowledges the rendering bug, the reproduction context, and the time pressure, and indicates engineering will investigate without confirming the cause or promising a fix timeline.","{""category"":""technical"",""reply"":""Thank you for reporting this issue and for providing the details about when it occurs and the affected devices. We’ve received your message and are investigating the blank Billing > Invoices page behavior to help determine what may be causing it.""}",0.655,"Acknowledges the bug and some context, indicates investigation without committing, but fails to mention time pressure/quarter-end urgency and doesn't specifically reference engineering investigating.","Valid and mostly accurate, but only generally covers reproduction context and misses the time pressure and engineering specificity.",AUTO: median canonical (|Δ|=0.210 < 0.3 threshold),median_canonical_auto
sum-005,gpt-5.4-mini-2026-03-17,compression,0.550,0.760,0.210,"Must cover: (1) the strong commercial month, headlined by 1.3 million pounds of new ARR (a company record) and the Customer A win at 480,000 pounds; (2) the hiring update of seven new joiners, with a notable improvement in time-to-offer; (3) the three areas of focus for May — German market entry, platform reliability following the 11 April incident, and the start of the H2 planning cycle. Must accurately state: that 1.3 million pounds was the new ARR figure and that the German market entry was already approved by the board (not still under discussion). Must NOT: claim the company has drawn on the credit facility (it has not); attribute the Customer A win to a single named individual when several were credited; or invent product roadmap details beyond the analytics-and-integrations focus stated.","- April was a strong month: the company closed £1.3 million in new ARR, its best single month and ahead of the year plan at £4.2 million year-to-date. Gross retention was 93%, net retention 112%, and £11.6 million remained undrawn on the credit facility with no plans to use it this year.

- The month’s key wins were a major new-logo deal with Customer A worth £480,000 ARR, a renewal of Customer E that increased ARR from £240,000 to £324,000, and a new co-selling agreement with Customer G that quickly generated £1.4 million of qualified pipeline. The update also highlighted that these wins were supported by multiple teams across sales, customer success, engineering, legal, and partnerships.

- Hiring and planning were both active: seven new joiners arrived in April, reducing median time-to-offer to 21 days, and there are 11 open roles remaining. The main focus areas are German market entry, platform reliability after an 11 April incident, and H2 planning ahead of the Lisbon offsite, with product investment expected to concentrate on analytics, integrations, and core platform.",0.655,"Incorrectly states '£11.6 million remained undrawn on the credit facility' — the £11.6M was cash on hand, not the credit facility balance. This is a factual error that could be read as claiming the company drew on the facility or conflating cash with the facility. Also says product investment will 'concentrate on analytics, integrations, and core platform' which misrepresents the document (core platform will NOT see major new feature work). Two factual errors significantly reduce the score.","Covers most required points, but omits board approval for Germany, misstates the £11.6 million cash/credit facility point, and blurs the roadmap focus by including core platform as a concentration area.",AUTO: median canonical (|Δ|=0.210 < 0.3 threshold),median_canonical_auto
cs-001,claude-sonnet-4-6,baseline,0.900,0.700,0.200,"Reply acknowledges the issue and indicates investigation without committing to specific outcomes (e.g. without promising a refund, without asserting the charge is correct or incorrect).","```json
{""category"": ""billing"", ""reply"": ""Thank you for reaching out, Customer A — we have received your message regarding the unexpected charge on your latest invoice. We will investigate the discrepancy between your expected plan cost of £99 and the £150 billed amount and get back to you as soon as possible.""}
```",0.800,"Acknowledges the issue and indicates investigation without committing to specific outcomes, but wrapped in markdown code fences which violates the output format requirement.","The reply acknowledges and indicates investigation, but it is wrapped in markdown fences, is only one sentence, and includes a timing commitment.",AUTO: median canonical (|Δ|=0.200 < 0.3 threshold),median_canonical_auto
cs-004,claude-sonnet-4-6,batch,0.900,0.700,0.200,Reply acknowledges the request and indicates the team will follow up on payment-method update without committing to a specific process or timeline.,"```json
{""category"": ""billing"", ""reply"": ""Thank you for reaching out, Customer B — we've received your request to update the payment card on file for your account at customer@example.com. Our team is looking into this and will be in touch shortly to assist you with the update.""}
```",0.800,"Clearly acknowledges receipt, references the specific request, and indicates the team will follow up without committing to a specific process or timeline — strong match to criteria.","Correct category and relevant two-sentence acknowledgement, but uses a code fence and commits to a vague timeline with 'shortly.'",AUTO: median canonical (|Δ|=0.200 < 0.3 threshold),median_canonical_auto
cs-011,gpt-5.4-mini-2026-03-17,batch,0.700,0.900,0.200,"Reply acknowledges the rate-limit discrepancy and the documentation question, and indicates someone will investigate without asserting whether the docs are wrong or whether a separate per-endpoint limit exists.","{""category"":""technical"",""reply"":""Thanks for reaching out and for providing the account details. We’ve received your report about the unexpected 429 responses and are investigating the rate-limit behavior and documentation for your account.""}",0.800,"Acknowledges the 429 issue and mentions investigating rate-limit behavior and documentation, but is somewhat vague about the documentation question; does not commit to outcomes; however, the reply is only borderline on explicitly acknowledging the documentation discrepancy question.","Valid JSON with correct category and two-sentence reply, though the documentation question is acknowledged somewhat generally.",AUTO: median canonical (|Δ|=0.200 < 0.3 threshold),median_canonical_auto
cs-012,gpt-5.4-mini-2026-03-17,baseline,0.600,0.800,0.200,"Reply acknowledges the suggestion and the underlying use case, and indicates it will be shared with product without promising delivery or a roadmap position.","{""category"":""feature_request"",""reply"":""Thanks for reaching out and sharing this suggestion. We’ve received your request for multiple owners per project and will review it with the team as part of our product investigation.""}",0.700,Acknowledges the suggestion but doesn't explicitly reference the underlying use case (security/audit concerns) and uses vague 'product investigation' language rather than clearly indicating it will be shared with the product team.,"Correct category and JSON with a suitable two-sentence acknowledgement, but it does not mention the security/audit shared-login use case.",AUTO: median canonical (|Δ|=0.200 < 0.3 threshold),median_canonical_auto
cs-014,gpt-5.4-2026-03-05,output_cap,0.700,0.900,0.200,Reply acknowledges the data subject access request and indicates it will be routed to the appropriate team without committing to a specific timeline or scope.,"{""category"":""other"",""reply"":""We have received your request regarding access to the personal data associated with customer@example.com, including information about any sharing with third-party processors. Our team will review the details and investigate the appropriate next steps, and we will follow up with information about the response process and timing.""}",0.800,"Acknowledges the DSAR and indicates investigation without committing to specific outcomes, but says 'follow up with information about the response process and timing' which slightly hints at providing timeline info rather than routing to appropriate team.","Valid JSON with two-sentence reply that acknowledges the DSAR and indicates team review without a specific commitment, though routing is only implicit.",AUTO: median canonical (|Δ|=0.200 < 0.3 threshold),median_canonical_auto
cs-014,gpt-5.4-mini-2026-03-17,output_cap,0.600,0.800,0.200,Reply acknowledges the data subject access request and indicates it will be routed to the appropriate team without committing to a specific timeline or scope.,"{""category"":""other"",""reply"":""Thank you for your request regarding access to your personal data, including any information shared with third-party processors. We have received your message and are reviewing it, and we will investigate the request and respond within the applicable timeframe.""}",0.700,"Acknowledges the DSAR but says 'respond within the applicable timeframe' which implicitly commits to a specific timeline (the statutory one), partially violating the criterion of not committing to a specific timeline.","Valid JSON and acknowledges receipt with investigation, but it does not mention routing to the appropriate team and somewhat commits to an applicable response timeframe.",AUTO: median canonical (|Δ|=0.200 < 0.3 threshold),median_canonical_auto
cs-015,gpt-5.4-2026-03-05,batch,0.700,0.900,0.200,"Reply acknowledges the request and the compliance use case, and indicates it will be shared with product without promising it will ship.","{""category"":""feature_request"",""reply"":""Thanks for reaching out and sharing this request for API access to the user-activity audit log for your account customer@example.com. We’ve received your feedback and will review it with the appropriate team to investigate the possibility and better understand your compliance use case.""}",0.800,"Acknowledges the request and mentions compliance use case, indicates review with appropriate team without promising outcomes, but doesn't explicitly mention sharing with product team; also slightly vague on compliance acknowledgment.","Correct category and valid JSON with a two-sentence reply that acknowledges the API audit-log request and compliance use case, though it does not explicitly mention product.",AUTO: median canonical (|Δ|=0.200 < 0.3 threshold),median_canonical_auto
rag-005,gpt-5.4-2026-03-05,compression,0.600,0.800,0.200,"Answer specifies 30 days clearly, optionally noting it applies to annual subscriptions; should not contradict policy details.","{""answer"":""A full refund is permitted if the annual subscription refund request is made within 30 days of purchase."",""supporting_sentences"":[5]}",0.700,"Correctly states 30 days for annual subscriptions, but cites sentence [5] (about currency) instead of [6] which is the actual supporting sentence.","The answer correctly states within 30 days for annual subscriptions, but the supporting sentence index is wrong.",AUTO: median canonical (|Δ|=0.200 < 0.3 threshold),median_canonical_auto
rag-013,gpt-5.4-2026-03-05,compression,0.350,0.550,0.200,Answer gives the 18-month retention period AND describes the post-period treatment (aggregation and anonymisation); does not confuse with transactional or support retention windows.,"{""answer"":""Behavioral data is retained for 18 months after account activity, and aggregated anonymized behavioral data is retained indefinitely with no identifiers."",""supporting_sentences"":[4,5]}",0.450,"The answer content is roughly correct (18 months, aggregated, anonymised), but the supporting_sentences cite [4] and [5] which refer to transactional data, not behavioural data. This is a significant error showing confusion between data classes, directly violating the evaluation criterion.",The answer is partially correct but omits the direct after-period analytics treatment and cites wrong supporting sentences.,AUTO: median canonical (|Δ|=0.200 < 0.3 threshold),median_canonical_auto
rea-014,claude-haiku-4-5,output_cap,0.800,0.600,0.200,"Reasoning must (a) eliminate Basic (lacks SSO and custom domain, and capped at 5 users), (b) eliminate Standard (lacks custom domain, and capped at 15 users below the 22 needed), and (c) conclude Pro is the only plan meeting all requirements.","```json
{
  ""reasoning"": ""Let me analyze Customer C's requirements: 1) SSO capability required, 2) Custom domain required, 3) 22 users. Now let me check each plan: Basic - up to 5 users, no SSO, no custom domain. This doesn't meet requirements (no SSO, no custom domain, and only 5 users vs 22 needed). Standard - up to 15 users, SSO included, no custom domain. This has SSO but lacks custom domain, and only supports 15 users vs 22 needed. Pro - up to 50 users, SSO included, custom domain included. This meets all requirements: has SSO, has custom domain, and supports 50 users (more than the 22 needed). Since the policy is to recommend the cheapest plan that meets ALL stated requirements, and only Pro meets all three requirements (SS",0.700,"Reasoning is correct and thorough but the response is truncated/incomplete, missing the final answer in clean format, though the logic clearly points to Pro.",Contains much of the correct elimination reasoning but is malformed/truncated and lacks a completed final answer JSON.,AUTO: median canonical (|Δ|=0.200 < 0.3 threshold),median_canonical_auto
rea-020,claude-haiku-4-5,compression,0.550,0.350,0.200,"Reasoning must (a) use clues 1 and 5 to fix Bea = Madrid, Dan = Paris, (b) use clue 4 (Alex ≠ Rome) with the remaining offices to place Alex = London and Cam = Rome, (c) use clues 2 and 3 to assign Alex = English and Cam = Italian, (d) use clue 6 to assign Bea = Spanish, (e) conclude Dan = French by elimination, ignoring the irrelevant cycling detail.","```json
{
  ""reasoning"": ""Let me work through this step-by-step using the given clues:\n\n1. Bea works in Madrid\n2. London speaks English as primary language\n3. Cam speaks Italian\n4. Alex works in Rome\n5. Dan does road cycling and works in Paris\n6. Madrid speaks Spanish as primary language\n\nFrom clue 5: Dan works in Paris\nFrom clue 1: Bea works in Madrid\nFrom clue 4: Alex works in Rome\n\nThis means Cam works in London (the only office left).\n\nNow for languages:\n- From clue 2: London office speaks English\n- Since Cam works in London, Cam speaks English\n- But clue 3 says Cam speaks Italian - this seems contradictory\n\nLet me reconsider: Each office has one primary language, and each person has one primary language.\n\n- Cam speaks Italian (clue 3)\n- Cam works in London (by elimination)\n- London office speaks English (clue 2)\n\nSo Cam's personal primary language is Italian, but works in the London office.\n\nFor Dan:\n- Dan works in Paris (clue 5)\n- We know: Bea (Madrid), Alex (Rome), Cam (London), so Dan (Paris)\n- Madrid speaks Spanish (clue 6)\n- London speaks English (clue 2)\n- The remaining languages are French and Italian\n- Cam speaks Italian (clue 3)\n- So Paris must speak French\n\nTherefore, Dan's primary language is French."",
  ""final_answer"": ""French""
}
```",0.450,"Gets the correct final answer but misreads clue 4 (says Alex=Rome instead of Alex≠Rome), which leads to Cam=London creating a contradiction with clues 2 and 3; reasoning is partially confused but arrives at the right answer.","Final answer is correct, but it violates the JSON-only format and misreads clue 4, producing an inconsistent office/language assignment.",AUTO: median canonical (|Δ|=0.200 < 0.3 threshold),median_canonical_auto
sum-008,claude-sonnet-4-6,baseline,0.780,0.580,0.200,"Must cover: (1) the Doncaster distribution hub opening in early September with the conveyor-integration risk and the agreed ten-day parallel-run period; (2) the WMS in-source vs outsource decision, with Marcus's recommendation to extend the outsourced contract by twelve months and the resulting opex impact; (3) the commercial picture for the top fifteen accounts, including Customer F being at-risk with approximately 1.8 million pounds 2027 ARR exposure, and the agreement on a base-rates-only pricing review with separate surcharge scoping. Must accurately state: Doncaster soft-launch window 7-14 September; six-week default lead time on customer-facing network changes with eight weeks as a named exception for Customer A; the technology contingency is approximately 80 percent committed before H2 begins; the remote-working policy v3.1 default is two days per week in-office. Must NOT: claim the WMS decision has already been approved (it is a recommendation going to exec on 21 April); attribute the eight-week Customer A exception to Helen (it was Tomas who specified eight weeks); state that the pricing review will include surcharges (it is base rates only with surcharge scoping).","• Brightline Logistics is planning two major network changes in H2 2026: opening the Doncaster distribution hub in early September (with a ten-day parallel-run before live customer volume) and consolidating Bristol operations by end of October, with agreed lead times of six weeks for most customers and eight weeks for Customer A.

• The technology roadmap centres on three priorities—completing the route-optimisation ML layer by mid-September, rolling out driver app v4 across all UK depots by end of August, and extending the outsourced WMS contract by twelve months—though the technology contingency budget is already 80% committed before H2 begins.

• Commercial risks include Customer F, whose potential churn represents £1.8 million in 2027 ARR, a slowing sales cycle of 140 days against a 110-day target, and a proposed Q3 pricing review covering base rates only; a structured exploratory phase with ParcelExample on a Midlands last-mile co-investment is also being considered, with a go/no-go decision targeted for Q4.",0.680,"Covers Doncaster with parallel run, WMS extension, Customer F risk, base-rates-only pricing, 80% contingency committed, and six/eight-week lead times. However, omits the specific 7-14 September soft-launch window and doesn't explicitly mention the conveyor-integration risk for Doncaster. The WMS extension is listed as a done deal rather than a recommendation going to exec on 21 April, which violates the 'Must NOT' criterion.","Covers network lead times, Customer F exposure, base-rate pricing, and 80% contingency, but misses conveyor risk, exact Doncaster window, WMS recommendation/opex impact, surcharge scoping, and remote policy.",AUTO: median canonical (|Δ|=0.200 < 0.3 threshold),median_canonical_auto
